name,terminology,code,term
diabetes_type2,SNOMED-CT,1003605004,Glaucoma suspect due to diabetes mellitus type 2 (disorder)
diabetes_type2,SNOMED-CT,102621000119101,Ulcer of skin due to type 2 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,102781000119107,Sensory neuropathy due to type 1 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,103981000119101,Proliferative retinopathy following surgery due to diabetes mellitus
diabetes_other,SNOMED-CT,104031000000108,Secondary pancreatic diabetes mellitus
diabetes_type1,SNOMED-CT,104941000119109,Ischemia of retina due to type 1 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,104951000119106,Vitreous hemorrhage due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,104961000119108,Ischemia of retina due to type 2 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,105401000119101,Diabetes mellitus due to pancreatic injury
diabetes_other,SNOMED-CT,106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth
diabetes_type1,SNOMED-CT,10656231000119100,Ulcer of skin of toe due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,10656271000119102,Ulcer of skin of toe due to type 2 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,10660471000119108,Ulcer of left foot due to type 2 diabetes mellitus
diabetes_type2,SNOMED-CT,10661671000119102,Ulcer of right foot due to type 2 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder)
diabetes_gestational,SNOMED-CT,10753491000119100,Gestational diabetes mellitus in childbirth (disorder)
diabetes_other,SNOMED-CT,10754881000119100,Diabetes mellitus in mother complicating childbirth
diabetes_other,SNOMED-CT,10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder)
diabetes_type2,SNOMED-CT,108781000119105,Neuropathic ulcer of midfoot AND/OR heel due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,108791000119108,Suspected glaucoma due to type 2 diabetes mellitus (situation)
diabetes_type1,SNOMED-CT,109171000119104,Retinal edema due to type 1 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,110171000119107,Ulcer of lower limb due to type 2 diabetes mellitus (disorder)
