name,terminology,code,term
bmi,SNOMED,162863004,Body mass index 25-29 - overweight (finding)
bmi,SNOMED,162864005,Body mass index 30+ - obesity (finding)
bmi,SNOMED,301331008,Finding of body mass index (finding)
bmi,SNOMED,310252000,Body mass index less than 20 (finding)
bmi,SNOMED,35425004,Normal body mass index (finding)
bmi,SNOMED,408512008,Body mass index 40+ - severely obese (finding)
bmi,SNOMED,412768003,Body mass index 20-24 - normal (finding)
bmi,SNOMED,427090001,Body mass index less than 16.5 (finding)
bmi,SNOMED,48499001,Increased body mass index (finding)
bmi,SNOMED,60621009,Body mass index (observable entity)
bmi,SNOMED,6497000,Decreased body mass index (finding)
bmi,SNOMED,722595002,Overweight in adulthood with body mass index of 25 or more but less than 30 (finding)
bmi,SNOMED,846931000000101,Baseline body mass index (observable entity)
bmi,SNOMED,914721000000105,Obese class I (body mass index 30.0 - 34.9) (finding)
bmi,SNOMED,914731000000107,Obese class II (body mass index 35.0 - 39.9) (finding)
bmi,SNOMED,914741000000103,Obese class III (body mass index equal to or greater than 40.0) (finding)
smoking_current,SNOMED,134406006,Smoking reduced (finding)
smoking_current,SNOMED,160603005,Light cigarette smoker (1-9 cigs/day) (finding)
smoking_current,SNOMED,160604004,Moderate cigarette smoker (10-19 cigs/day) (finding)
smoking_current,SNOMED,160605003,Heavy cigarette smoker (20-39 cigs/day) (finding)
smoking_current,SNOMED,160606002,Very heavy cigarette smoker (40+ cigs/day) (finding)
smoking_current,SNOMED,160612007,Keeps trying to stop smoking (finding)
smoking_current,SNOMED,160613002,Admitted tobacco consumption possibly untrue (finding)
smoking_current,SNOMED,160616005,Trying to give up smoking (finding)
smoking_current,SNOMED,160619003,Rolls own cigarettes (finding)
smoking_current,SNOMED,203191000000107,Wants to stop smoking (finding)
smoking_current,SNOMED,225934006,Smokes in bed (finding)
smoking_current,SNOMED,230056004,Cigarette consumption (observable entity)
smoking_current,SNOMED,230057008,Cigar consumption (observable entity)
smoking_current,SNOMED,230058003,Pipe tobacco consumption (observable entity)
smoking_current,SNOMED,230059006,Occasional cigarette smoker (finding)
smoking_current,SNOMED,230060001,Light cigarette smoker (finding)
smoking_current,SNOMED,230062009,Moderate cigarette smoker (finding)
smoking_current,SNOMED,230063004,Heavy cigarette smoker (finding)
smoking_current,SNOMED,230064005,Very heavy cigarette smoker (finding)
smoking_current,SNOMED,230065006,Chain smoker (finding)
smoking_current,SNOMED,266918002,Tobacco smoking consumption (observable entity)
smoking_current,SNOMED,266920004,Trivial cigarette smoker (less than one cigarette/day) (finding)
smoking_current,SNOMED,266929003,Smoking started (finding)
smoking_current,SNOMED,308438006,Smoking restarted (finding)
smoking_current,SNOMED,394871007,Thinking about stopping smoking (finding)
smoking_current,SNOMED,394872000,Ready to stop smoking (finding)
smoking_current,SNOMED,394873005,Not interested in stopping smoking (finding)
smoking_current,SNOMED,401159003,Reason for restarting smoking (observable entity)
smoking_current,SNOMED,401201003,Cigarette pack-years (observable entity)
smoking_current,SNOMED,413173009,Minutes from waking to first tobacco consumption (observable entity)
smoking_current,SNOMED,428041000124106,Occasional tobacco smoker (finding)
smoking_current,SNOMED,446172000,Failed attempt to stop smoking (finding)
